Id;Catégorie;Description;Energ_Kcal;Protéine;gras;Cholestérol;Sodium
43;Breuvages;Diet Coke  (Large) ;0;0;0;0;60
63;Breuvages;Hi-C  Orange Drink (Large) ;350;0;0;0;60
95;Desserts;Nuts (for Sundaes);40;2;3;0;55
118;Desserts;Snack Size Fruit 'n Yogurt Parfait (w/o granola)¯;130;4;2;5;55
124;Breuvages;Sprite  (Small) ;150;0;0;0;55
34;Breuvages;Coca-Cola Classic  (Super Size ) ;410;0;0;0;40
44;Breuvages;Diet Coke  (Medium) ;0;0;0;0;40
64;Breuvages;Hi-C  Orange Drink (Medium) ;240;0;0;0;40
121;Breuvages;Sprite  (Child) ;110;0;0;0;40
31;Breuvages;Coca-Cola Classic  (Large) ;310;0;0;0;30
45;Breuvages;Diet Coke  (Small) ;0;0;0;0;30
65;Breuvages;Hi-C  Orange Drink (Small) ;160;0;0;0;30
78;Breuvages;Iced Tea (Super Size );0;0;0;0;25
32;Breuvages;Coca-Cola Classic  (Medium) ;210;0;0;0;20
42;Breuvages;Diet Coke  (Child) ;0;0;0;0;20
62;Breuvages;Hi-C  Orange Drink (Child) ;120;0;0;0;20
75;Breuvages;Iced Tea (Large);0;0;0;0;20
79;Desserts;Kiddie Cone;45;1;1;5;20
33;Breuvages;Coca-Cola Classic  (Small) ;150;0;0;0;15
76;Breuvages;Iced Tea (Medium);0;0;0;0;15
30;Breuvages;Coca-Cola Classic  (Child) ;110;0;0;0;10
35;Breuvages;Coffee (Large);10;0;0;0;10
77;Breuvages;Iced Tea (Small);0;0;0;0;10
98;Breuvages;Orange Juice (21 fl oz cup);250;4;0;0;10
116;Salades;Side Salad;15;1;0;0;10
36;Breuvages;Coffee (Medium);5;0;0;0;5
74;Breuvages;Iced Tea (Child);0;0;0;0;5
96;Breuvages;Orange Juice (12 fl oz cup);140;2;0;0;5
97;Breuvages;Orange Juice (16 fl oz cup);180;3;0;0;5
37;Breuvages;Coffee (Small);0;0;0;0;0
58;Breuvages;Half & Half Creamer;15;0;1;5;0
67;Croquettes;Honey;45;0;0;0;0
